standard_whisky_name,image_url,source_url,license
Glenfarclas 15 Year Old,/images/whisky-thumbs/glenfarclas-15-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/bcb0d16d-cc97-427c-b604-e0c51f358574.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ballantine's Single Malt Glenburgie 18 Year Old,/images/whisky-thumbs/ballantine-s-single-malt-glenburgie-18-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/4009eced-840e-4f77-b53b-9df35aa1a259.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Talisker 18 Year Old,/images/whisky-thumbs/talisker-18-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/98ce4f3e-2f4e-4205-bfcd-377f9b4a3f0e.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hazelburn (Unspecified),/images/whisky-thumbs/hazelburn-unspecified.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/336f5b0b-ac5c-4181-b383-6740c7609a92.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glen Grant 15 Year Old Batch Strength,/images/whisky-thumbs/glen-grant-15-year-old-batch-strength.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/bb9e18c9-e71d-403f-b12d-3615ff67c272.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Glenfiddich 14 Year Old Bourbon Barrel Reserve,/images/whisky-thumbs/glenfiddich-14-year-old-bourbon-barrel-reserve.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9b38b353-cd91-4a4f-b16f-c6b07d9fb512.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Hibiki Blender's Choice,/images/whisky-thumbs/hibiki-blender-s-choice.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/9ec22ff2-f562-4157-bb0c-8f8db76c4121.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Kavalan Solist Fino Sherry Single Cask Strength,/images/whisky-thumbs/kavalan-solist-fino-sherry-single-cask-strength.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/5bcb3dd5-775b-43b5-a300-03e85d08a501.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Ballantine's Single Malt Glenburgie 12 Year Old,/images/whisky-thumbs/ballantine-s-single-malt-glenburgie-12-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/131f2ac5-a404-471a-8452-7271cc87ca0a.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Kilkerran 16 Year Old,/images/whisky-thumbs/kilkerran-16-year-old.png,https://d1e2y5wc27crnp.cloudfront.net/media/core/product/thumbnail/b6cffa89-a553-407f-8783-804333e224cf.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
Bruichladdich The Classic Laddie,/images/whisky-thumbs/bruichladdich-the-classic-laddie.png,https://d1e2y5wc27crnp.cloudfront.net/media/smartorder_reservation/product/thumbnail/2b197764-163f-42a7-abc1-c0c14e48b547.webp,데일리샷 제품 리스팅 이미지 (배경 제거 후 자체 호스팅)
